name,value
g_16.0s34,0.0
w_16.0s34,43.0
theta_16.0s34,-9889.905460784412
g_16.0s15,0.0
w_16.0s15,43.00000000000023
theta_16.0s15,-9974.342609206542
g_16.0s48,0.0
w_16.0s48,43.00000000000023
theta_16.0s48,-10000.0
g_16.0s8,0.0
w_16.0s8,43.0
theta_16.0s8,9746.24121552478
g_16.0s18,0.0
w_16.0s18,43.0
theta_16.0s18,9758.651023889342
g_16.0s45,0.0
w_16.0s45,43.00000000000023
theta_16.0s45,-9971.407348407341
g_16.0s24,0.0
w_16.0s24,43.00000000000023
theta_16.0s24,-9948.618583372254
g_16.0s6,0.0
w_16.0s6,43.0
theta_16.0s6,9749.328049507847
g_16.0s42,0.0
w_16.0s42,43.0
theta_16.0s42,-9928.971431777207
g_16.0s21,0.0
w_16.0s21,43.00000000000023
theta_16.0s21,-10000.000000000004
g_16.0s30,0.0
w_16.0s30,43.0
theta_16.0s30,9769.402089287309
g_16.0s11,0.0
w_16.0s11,43.0
theta_16.0s11,9735.856733295506
g_16.0s22,0.0
w_16.0s22,43.0
theta_16.0s22,9741.81347804544
g_16.0s4,0.0
w_16.0s4,43.0
theta_16.0s4,-9944.287356369145
g_16.0s37,0.0
w_16.0s37,43.0
theta_16.0s37,9749.239180348683
g_16.0s14,0.0
w_16.0s14,43.0
theta_16.0s14,-9957.260647454863
g_16.0s49,0.0
w_16.0s49,43.0
theta_16.0s49,-9884.058860690859
g_16.0s39,0.0
w_16.0s39,43.0
theta_16.0s39,-9939.554905771465
g_16.0s17,0.0
w_16.0s17,43.0
theta_16.0s17,9741.404347507183
g_16.0s2,0.0
w_16.0s2,43.0
theta_16.0s2,-9971.353978372465
g_16.0s46,0.0
w_16.0s46,43.0
theta_16.0s46,-9949.949049938225
g_16.0s25,0.0
w_16.0s25,43.0
theta_16.0s25,-9928.619384449183
g_16.0s28,0.0
w_16.0s28,43.0
theta_16.0s28,-9939.479616727518
g_16.0s43,0.0
w_16.0s43,43.00000000000023
theta_16.0s43,-8010.292888170727
g_16.0s26,0.0
w_16.0s26,43.00000000000023
theta_16.0s26,8998.999999999996
g_16.0s9,0.0
w_16.0s9,43.0
theta_16.0s9,-9878.23702111633
g_16.0s0,0.0
w_16.0s0,43.0
theta_16.0s0,-9955.384285750119
g_16.0s33,0.0
w_16.0s33,43.00000000000023
theta_16.0s33,9757.719558026756
g_16.0s10,0.0
w_16.0s10,43.0
theta_16.0s10,-9922.177029108945
g_16.0s40,0.0
w_16.0s40,43.0
theta_16.0s40,9762.151542854408
g_16.0s23,0.0
w_16.0s23,0.0
theta_16.0s23,-9000.000000000004
c_16.0,0.0
Z_16.0,0.0
g_57.0s36,0.0
w_57.0s36,6.7
theta_57.0s36,9697.561109978918
g_57.0s7,0.0
w_57.0s7,0.0
theta_57.0s7,-7998.470075972254
g_57.0s13,0.0
w_57.0s13,6.7
theta_57.0s13,-9950.928285840218
g_57.0s38,0.0
w_57.0s38,6.7
theta_57.0s38,-9926.686805659177
g_57.0s35,0.0
w_57.0s35,6.7
theta_57.0s35,-9968.23817256823
g_57.0s16,0.0
w_57.0s16,0.0
theta_57.0s16,-9999.988098495212
g_57.0s47,0.0
w_57.0s47,6.7
theta_57.0s47,-9950.614118077063
g_57.0s5,0.0
w_57.0s5,6.7
theta_57.0s5,-9912.137394450383
g_57.0s29,0.0
w_57.0s29,0.0
theta_57.0s29,-9993.744454905303
g_57.0s19,0.0
w_57.0s19,6.7
theta_57.0s19,9736.504289430542
g_57.0s44,0.0
w_57.0s44,6.7
theta_57.0s44,9732.738229877425
g_57.0s27,0.0
w_57.0s27,6.7
theta_57.0s27,-9950.245369451623
g_57.0s32,0.0
w_57.0s32,0.0
theta_57.0s32,-9995.532828413056
g_57.0s3,0.0
w_57.0s3,6.7
theta_57.0s3,9731.098304442294
g_57.0s41,0.0
w_57.0s41,6.7
theta_57.0s41,9705.717515201588
g_57.0s20,0.0
w_57.0s20,6.7
theta_57.0s20,9759.237227888432
g_57.0s31,0.0
w_57.0s31,6.7
theta_57.0s31,9757.898880192353
g_57.0s12,0.0
w_57.0s12,6.7
theta_57.0s12,-9989.802406097979
g_57.0s1,0.0
w_57.0s1,6.7
theta_57.0s1,-9933.568989278701
g_57.0s34,0.0
w_57.0s34,6.7
theta_57.0s34,-9929.11012349305
g_57.0s15,0.0
w_57.0s15,0.0
theta_57.0s15,-9999.29040603518
g_57.0s48,0.0
w_57.0s48,0.0
theta_57.0s48,-9994.208899363626
g_57.0s8,0.0
w_57.0s8,6.7
theta_57.0s8,9704.039736909712
g_57.0s18,0.0
w_57.0s18,6.7
theta_57.0s18,9720.734390494194
g_57.0s45,0.0
w_57.0s45,0.0
theta_57.0s45,-9999.378949478703
g_57.0s24,0.0
w_57.0s24,6.7
theta_57.0s24,-9950.892165398498
g_57.0s6,0.0
w_57.0s6,6.7
theta_57.0s6,9733.097942680624
g_57.0s42,0.0
w_57.0s42,6.7
theta_57.0s42,-9949.016153126453
g_57.0s21,0.0
w_57.0s21,0.0
theta_57.0s21,-9999.959296817176
g_57.0s30,0.0
w_57.0s30,6.7
theta_57.0s30,9753.579520131905
g_57.0s11,0.0
w_57.0s11,6.7
theta_57.0s11,9693.1568885335
g_57.0s22,0.0
w_57.0s22,6.7
theta_57.0s22,9706.560367272396
g_57.0s4,0.0
w_57.0s4,6.7
theta_57.0s4,-9947.54495284676
g_57.0s37,0.0
w_57.0s37,6.7
theta_57.0s37,9690.684881193221
g_57.0s14,0.0
w_57.0s14,6.7
theta_57.0s14,-9938.83310326255
g_57.0s49,0.0
w_57.0s49,6.7
theta_57.0s49,-9939.256765515598
g_57.0s39,0.0
w_57.0s39,6.7
theta_57.0s39,-9951.503059379658
g_57.0s17,0.0
w_57.0s17,6.7
theta_57.0s17,9673.488143616902
g_57.0s2,0.0
w_57.0s2,6.7
theta_57.0s2,-9953.755884653805
g_57.0s46,0.0
w_57.0s46,6.7
theta_57.0s46,-9991.4708903762
g_57.0s25,0.0
w_57.0s25,6.7
theta_57.0s25,-9972.18958084899
g_57.0s28,0.0
w_57.0s28,6.7
theta_57.0s28,-9950.424872044163
g_57.0s43,0.0
w_57.0s43,0.0
theta_57.0s43,-8003.0999727552335
g_57.0s26,0.0
w_57.0s26,0.0
theta_57.0s26,10000.0
g_57.0s9,0.0
w_57.0s9,6.7
theta_57.0s9,-9938.705368102052
g_57.0s0,0.0
w_57.0s0,6.7
theta_57.0s0,-9945.21185914421
g_57.0s33,0.0
w_57.0s33,6.7
theta_57.0s33,9650.6707436834
g_57.0s10,0.0
w_57.0s10,6.7
theta_57.0s10,-9972.802510760297
g_57.0s40,0.0
w_57.0s40,6.7
theta_57.0s40,9724.104361841175
