line_upgrade_cost_coef_scale,line_establish_cost_coef_scale,line_upgrade_capacity_coef_scale,line_establish_capacity_coef_scale,set_decision_var_priorities,runtime,net_runtime_simulations,best_incumbent
1.0,1.0,7.73414634146341,15.4682926829268,True,26.593585955742203,18.81188458736687,138.85399999999993
1.0,1.0,7.73414634146341,15.4682926829268,True,46.54620069410054,36.50103295882473,147.04799999999994
1.0,1.0,7.73414634146341,15.4682926829268,True,84.11043827434578,66.06696013714759,179.29799999999986
1.0,1.0,7.73414634146341,15.4682926829268,True,173.9803790445465,109.86116766018252,180.49799999999985
1.0,1.0,7.73414634146341,15.4682926829268,True,193.95334234641936,123.00756280028402,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,271.3275977072666,177.37909659978337,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,274.55260324681586,179.39527236804568,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,297.0045320481769,193.24632263529512,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,300.25758605359096,195.3653943575957,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,301.45275539597606,195.99846229508282,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,360.48335162783104,202.91437947519486,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,766.1611899321572,262.7151260841231,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,814.40613671124,268.46946051474697,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,1424.8659824458155,338.8599712882092,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,2004.0787856170261,402.3817527389822,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,2029.3910688528283,416.7251225883035,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,2480.4011105836253,509.9372297247496,185.55199999999977
1.0,1.0,7.73414634146341,15.4682926829268,True,3606.145034643872,NA,185.55200000000005
